label,precision,recall,f1-score,support
A,0.9356435643564357,0.945,0.9402985074626866,800.0
B,0.9773013871374527,0.96875,0.9730069052102951,800.0
C,0.9744572158365262,0.95375,0.9639924194567278,800.0
D,0.9514321295143213,0.955,0.9532127261384903,800.0
E,0.9435096153846154,0.98125,0.9620098039215687,800.0
F,0.9663341645885287,0.96875,0.9675405742821473,800.0
G,0.6955280685061845,0.91375,0.7898433279308482,800.0
H,0.9107981220657277,0.97,0.9394673123486683,800.0
I,0.7093275488069414,0.8175,0.759581881533101,800.0
J,0.9609375,0.9225,0.9413265306122449,800.0
K,0.9821656050955414,0.96375,0.9728706624605679,800.0
L,0.8053892215568862,0.6725,0.7329700272479565,800.0
M,0.9589371980676329,0.9925,0.9754299754299754,800.0
N,0.9777158774373259,0.8775,0.924901185770751,800.0
O,0.9522643818849449,0.9725,0.9622758194186766,800.0
P,0.9848293299620733,0.97375,0.9792583280955374,800.0
Q,0.8792792792792793,0.61,0.7202952029520295,800.0
R,0.9607594936708861,0.94875,0.9547169811320755,800.0
S,0.9811794228356336,0.9775,0.9793362554790231,800.0
T,0.9280575539568345,0.9675,0.9473684210526315,800.0
U,0.93875,0.93875,0.93875,800.0
V,0.9536679536679536,0.92625,0.9397590361445783,800.0
W,0.9438470728793309,0.9875,0.9651802076970067,800.0
X,0.9869451697127938,0.945,0.9655172413793104,800.0
Y,0.9414634146341463,0.965,0.9530864197530864,800.0
Z,0.9900373599003736,0.99375,0.991890205864005,800.0
macro avg,0.9304060634899373,0.9272596153846153,0.9266879214913074,20800.0
weighted avg,0.9304060634899373,0.9272596153846154,0.9266879214913073,20800.0
