label,precision,recall,f1-score,support
A,0.5286757038581856,0.63375,0.5764638999431495,800.0
B,0.7182044887780549,0.72,0.7191011235955056,800.0
C,0.7909090909090909,0.76125,0.7757961783439491,800.0
D,0.6414523449319214,0.53,0.5804243668720055,800.0
E,0.7526737967914439,0.70375,0.727390180878553,800.0
F,0.7350649350649351,0.7075,0.7210191082802547,800.0
G,0.5850234009360374,0.46875,0.520471894517696,800.0
H,0.6477572559366754,0.61375,0.6302952503209243,800.0
I,0.3503521126760563,0.4975,0.41115702479338845,800.0
J,0.7050754458161865,0.6425,0.6723348593852191,800.0
K,0.6165413533834586,0.615,0.6157697121401752,800.0
L,0.4700854700854701,0.48125,0.47560222359481164,800.0
M,0.8557692307692307,0.89,0.8725490196078431,800.0
N,0.6022304832713755,0.6075,0.6048537647790915,800.0
O,0.8,0.855,0.8265861027190332,800.0
P,0.8240740740740741,0.77875,0.800771208226221,800.0
Q,0.6043956043956044,0.55,0.5759162303664922,800.0
R,0.6504297994269341,0.5675,0.6061415220293725,800.0
S,0.8440860215053764,0.785,0.8134715025906736,800.0
T,0.4626407369498465,0.565,0.5087225661226786,800.0
U,0.7035236938031592,0.72375,0.7134935304990758,800.0
V,0.5992102665350444,0.75875,0.6696083838940982,800.0
W,0.8451776649746193,0.8325,0.8387909319899244,800.0
X,0.7221476510067114,0.6725,0.6964401294498382,800.0
Y,0.6808219178082192,0.62125,0.6496732026143791,800.0
Z,0.7966339410939691,0.71,0.7508261731658956,800.0
macro avg,0.6743444801839108,0.6650961538461538,0.6674488496430864,20800.0
weighted avg,0.6743444801839108,0.6650961538461538,0.6674488496430865,20800.0
